Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
3.2592e-02,0.0330937
3.2624e-02,0.0330469
3.2656e-02,0.0334594
3.2688e-02,0.0333094
3.2720e-02,0.0332531
3.2752e-02,0.0332781
3.2784e-02,0.0334719
3.2816e-02,0.0339094
3.2848e-02,0.0328906
3.2880e-02,0.033675
3.2912e-02,0.0347625
3.2944e-02,0.0367906
3.2976e-02,0.0375812
3.3008e-02,0.0378906
3.3040e-02,0.0382625
3.3072e-02,0.0375844
3.3104e-02,0.0377594
3.3136e-02,0.0389312
3.3168e-02,0.0411937
3.3200e-02,0.0429812
3.3232e-02,0.0437562
3.3264e-02,0.0437125
3.3296e-02,0.0439312
3.3328e-02,0.0447594
3.3360e-02,0.0463812
3.3392e-02,0.0470156
3.3424e-02,0.0480656
3.3456e-02,0.0496719
3.3488e-02,0.0517406
3.3520e-02,0.053825
3.3552e-02,0.0542156
3.3584e-02,0.0535875
3.3616e-02,0.055775
3.3648e-02,0.0574906
3.3680e-02,0.0591031
3.3712e-02,0.0600469
3.3744e-02,0.0601937
3.3776e-02,0.060375
3.3808e-02,0.0618094
3.3840e-02,0.0634781
3.3872e-02,0.0639187
3.3904e-02,0.063175
3.3936e-02,0.0626781
3.3968e-02,0.0617531
3.4000e-02,0.0610219
3.4032e-02,0.0617969
3.4064e-02,0.06125
3.4096e-02,0.0617781
3.4128e-02,0.060625
3.4160e-02,0.0600187
3.4192e-02,0.0590562
3.4224e-02,0.0574437
3.4256e-02,0.0558344
3.4288e-02,0.0547375
3.4320e-02,0.0534
3.4352e-02,0.0513344
3.4384e-02,0.0498125
3.4416e-02,0.0478594
3.4448e-02,0.0459844
3.4480e-02,0.0453687
3.4512e-02,0.0433219
3.4544e-02,0.0423687
3.4576e-02,0.0413906
3.4608e-02,0.040425
3.4640e-02,0.0390719
3.4672e-02,0.0382781
3.4704e-02,0.0385687
3.4736e-02,0.0376094
3.4768e-02,0.0374844
3.4800e-02,0.0370187
3.4832e-02,0.03655
3.4864e-02,0.0354625
3.4896e-02,0.0349187
3.4928e-02,0.0343531
3.4960e-02,0.0343687
3.4992e-02,0.0337656
3.5024e-02,0.033275
3.5056e-02,0.0328469
3.5088e-02,0.032925
3.5120e-02,0.0323875
3.5152e-02,0.032175
3.5184e-02,0.0322469
3.5216e-02,0.032425
3.5248e-02,0.0317906
3.5280e-02,0.0317062
3.5312e-02,0.0315375
3.5344e-02,0.0311875
3.5376e-02,0.0312187
3.5408e-02,0.0312969
3.5440e-02,0.0315
3.5472e-02,0.0310281
3.5504e-02,0.0305625
3.5536e-02,0.0304219
3.5568e-02,0.03085
3.5600e-02,0.0305469
3.5632e-02,0.0304687
3.5664e-02,0.0302906
3.5696e-02,0.03105
3.5728e-02,0.0317531
3.5760e-02,0.0313906
3.5792e-02,0.0302937
3.5824e-02,0.0295812
3.5856e-02,0.0288719
3.5888e-02,0.0292156
3.5920e-02,0.0295156
3.5952e-02,0.0287281
3.5984e-02,0.0289187
3.6016e-02,0.029875
3.6048e-02,0.0303812
3.6080e-02,0.0304219
3.6112e-02,0.0304187
3.6144e-02,0.0306969
3.6176e-02,0.0308625
3.6208e-02,0.0301719
3.6240e-02,0.0303125
3.6272e-02,0.0304719
3.6304e-02,0.0303437
3.6336e-02,0.0312
3.6368e-02,0.0317531
3.6400e-02,0.0310375
3.6432e-02,0.0305781
3.6464e-02,0.0301281
3.6496e-02,0.0302906
3.6528e-02,0.0310031
3.6560e-02,0.0326094
3.6592e-02,0.0333719
3.6624e-02,0.0328125
3.6656e-02,0.0324906
3.6688e-02,0.0320656
3.6720e-02,0.0327094
3.6752e-02,0.0329812
3.6784e-02,0.0331969
3.6816e-02,0.0339375
3.6848e-02,0.0344844
3.6880e-02,0.0339344
3.6912e-02,0.03415
3.6944e-02,0.0337312
3.6976e-02,0.0345406
3.7008e-02,0.0351812
3.7040e-02,0.0351687
3.7072e-02,0.0334875
3.7104e-02,0.0319312
3.7136e-02,0.0308406
3.7168e-02,0.0310406
3.7200e-02,0.0310187
3.7232e-02,0.0315187
3.7264e-02,0.0314875
3.7296e-02,0.0312187
3.7328e-02,0.0310062
3.7360e-02,0.0306437
3.7392e-02,0.031175
3.7424e-02,0.0310937
3.7456e-02,0.0309781
3.7488e-02,0.0307219
3.7520e-02,0.0310969
3.7552e-02,0.0313406
3.7584e-02,0.0308875
3.7616e-02,0.03135
3.7648e-02,0.0306906
3.7680e-02,0.0307062
3.7712e-02,0.0309
3.7744e-02,0.03205
3.7776e-02,0.0314906
3.7808e-02,0.0323406
3.7840e-02,0.0326312
3.7872e-02,0.0329125
3.7904e-02,0.0325937
3.7936e-02,0.0321406
3.7968e-02,0.0324875
3.8000e-02,0.0331969
3.8032e-02,0.0336437
3.8064e-02,0.0335719
3.8096e-02,0.0330781
3.8128e-02,0.0334781
3.8160e-02,0.0339562
3.8192e-02,0.034075
3.8224e-02,0.0343156
3.8256e-02,0.0344719
3.8288e-02,0.0354906
3.8320e-02,0.0365219
3.8352e-02,0.0372125
3.8384e-02,0.0367844
3.8416e-02,0.0363562
3.8448e-02,0.0364031
3.8480e-02,0.03705
3.8512e-02,0.0382406
3.8544e-02,0.0383687
3.8576e-02,0.0388656
3.8608e-02,0.0386562
3.8640e-02,0.0372344
3.8672e-02,0.0377375
3.8704e-02,0.0384906
3.8736e-02,0.0390844
3.8768e-02,0.0391187
3.8800e-02,0.0400094
3.8832e-02,0.0403125
3.8864e-02,0.0428594
3.8896e-02,0.0444625
3.8928e-02,0.0452156
3.8960e-02,0.0471437
3.8992e-02,0.0468625
3.9024e-02,0.0470937
3.9056e-02,0.0487531
3.9088e-02,0.0489594
3.9120e-02,0.0492219
3.9152e-02,0.0506062
3.9184e-02,0.0524
3.9216e-02,0.0538031
3.9248e-02,0.0547344
3.9280e-02,0.0566062
3.9312e-02,0.0579031
3.9344e-02,0.058675
3.9376e-02,0.0579812
3.9408e-02,0.0605594
3.9440e-02,0.0609125
3.9472e-02,0.0607156
3.9504e-02,0.0613719
3.9536e-02,0.0633219
3.9568e-02,0.0637125
3.9600e-02,0.0652187
3.9632e-02,0.0671406
3.9664e-02,0.0666125
3.9696e-02,0.0660469
3.9728e-02,0.0673406
3.9760e-02,0.0686906
3.9792e-02,0.0688656
3.9824e-02,0.0693094
3.9856e-02,0.0688781
3.9888e-02,0.0674531
3.9920e-02,0.0664156
