Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.7005e+01,-0.00188,0.00268
-1.6997e+01,-0.0022,-0.00724
-1.6989e+01,-0.00236,0.00116
-1.6982e+01,-0.00212,-0.00548
-1.6974e+01,-0.0022,-0.001
-1.6966e+01,-0.00188,-0.00324
-1.6959e+01,-0.00212,0.0018
-1.6951e+01,-0.00228,-0.00684
-1.6943e+01,-0.00268,0.00268
-1.6935e+01,-0.00268,-0.00788
-1.6928e+01,-0.00212,0.00268
-1.6920e+01,-0.00204,-0.00884
-1.6912e+01,-0.00196,0.00268
-1.6905e+01,-0.00172,-0.00692
-1.6897e+01,-0.0018,0.00196
-1.6889e+01,-0.0014,-0.00572
-1.6882e+01,-0.00156,0.00268
-1.6874e+01,-0.00156,-0.0062
-1.6866e+01,-0.00124,0.00268
-1.6859e+01,-0.00172,-0.00612
-1.6851e+01,-0.00172,0.00204
-1.6843e+01,-0.0018,-0.00476
-1.6836e+01,-0.00132,0.00268
-1.6828e+01,-0.00148,-0.00604
-1.6820e+01,-0.00148,0.00252
-1.6813e+01,-0.00156,-0.00588
-1.6805e+01,-0.00188,0.0014
-1.6797e+01,-0.00212,-0.005
-1.6790e+01,-0.00252,0.00244
-1.6782e+01,-0.00188,-0.00676
-1.6774e+01,-0.00276,0.00052
-1.6767e+01,-0.00204,-0.00508
-1.6759e+01,-0.00156,0.00228
-1.6751e+01,-0.00132,-0.0062
-1.6743e+01,-0.00212,0.00196
-1.6736e+01,-0.00204,-0.00628
-1.6728e+01,-0.00196,0.00228
-1.6720e+01,-0.00148,-0.00628
-1.6713e+01,-0.0018,0.00188
-1.6705e+01,-0.00188,-0.00508
-1.6697e+01,-0.00212,0.00188
-1.6690e+01,-0.00196,-0.0054
-1.6682e+01,-0.0018,0.00268
-1.6674e+01,-0.00196,-0.0078
-1.6667e+01,-0.00196,0.00076
-1.6659e+01,-0.00196,-0.00468
-1.6651e+01,-0.00212,0.00268
-1.6644e+01,-0.00188,-0.00692
-1.6636e+01,-0.00156,0.0022
-1.6628e+01,-0.00212,-0.0058
-1.6621e+01,-0.00172,0.00268
-1.6613e+01,-0.00236,-0.00756
-1.6605e+01,-0.00244,0.00268
-1.6598e+01,-0.00244,-0.00828
-1.6590e+01,-0.00196,-0.0002
-1.6582e+01,-0.0018,-0.00412
-1.6575e+01,-0.00196,0.00132
-1.6567e+01,-0.00228,-0.00556
-1.6559e+01,-0.00188,0.00076
-1.6551e+01,-0.0018,-0.00492
-1.6544e+01,-0.00196,0.00196
-1.6536e+01,-0.00196,-0.00548
-1.6528e+01,-0.00196,0.00252
-1.6521e+01,-0.00236,-0.00764
-1.6513e+01,-0.00276,0.00156
-1.6505e+01,-0.00204,-0.00668
-1.6498e+01,-0.00228,0.00268
-1.6490e+01,-0.00236,-0.00772
-1.6482e+01,-0.00212,0.00092
-1.6475e+01,-0.00244,-0.00556
-1.6467e+01,-0.0026,0.00084
-1.6459e+01,-0.00204,-0.00532
-1.6452e+01,-0.00236,0.00252
-1.6444e+01,-0.00228,-0.00788
-1.6436e+01,-0.00244,0.00268
-1.6429e+01,-0.00276,-0.00876
-1.6421e+01,-0.00268,0.0026
-1.6413e+01,-0.00252,-0.00724
-1.6406e+01,-0.00292,0.001
-1.6398e+01,-0.00284,-0.00596
-1.6390e+01,-0.00268,0.00036
-1.6382e+01,-0.0026,-0.00524
-1.6375e+01,-0.00276,0.00268
-1.6367e+01,-0.00268,-0.0086
-1.6359e+01,-0.00268,0.00116
-1.6352e+01,-0.00252,-0.00652
-1.6344e+01,-0.00316,0.00268
-1.6336e+01,-0.00268,-0.00852
-1.6329e+01,-0.00284,0.00252
-1.6321e+01,-0.00284,-0.00756
-1.6313e+01,-0.00316,0.00172
-1.6306e+01,-0.00316,-0.00732
-1.6298e+01,-0.00292,0.00028
-1.6290e+01,-0.00252,-0.00676
-1.6283e+01,-0.00284,0.0006
-1.6275e+01,-0.00228,-0.00588
-1.6267e+01,-0.00228,0.00244
-1.6260e+01,-0.00268,-0.007
-1.6252e+01,-0.00228,0.00268
-1.6244e+01,-0.00228,-0.00844
-1.6237e+01,-0.003,0.00044
-1.6229e+01,-0.0026,-0.00492
-1.6221e+01,-0.00268,0.00268
-1.6214e+01,-0.00244,-0.00852
-1.6206e+01,-0.00284,0.0022
-1.6198e+01,-0.00292,-0.00772
-1.6190e+01,-0.00324,0.00052
-1.6183e+01,-0.00252,-0.00596
-1.6175e+01,-0.00268,0.00252
-1.6167e+01,-0.00284,-0.00788
-1.6160e+01,-0.0026,-0.0002
