Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3757,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Label,,
TIME,CH1,CH1 Peak Detect
-1.5561e+01,-0.003,0.0038
-1.5553e+01,-0.0038,-0.0114
-1.5545e+01,-0.0034,0.0062
-1.5538e+01,-0.003,-0.0146
-1.5530e+01,-0.0038,0.0054
-1.5522e+01,-0.005,-0.0122
-1.5515e+01,-0.0038,0.0074
-1.5507e+01,-0.0034,-0.0142
-1.5499e+01,-0.0038,0.0054
-1.5492e+01,-0.0034,-0.0134
-1.5484e+01,-0.0042,0.007
-1.5476e+01,-0.0046,-0.015
-1.5469e+01,-0.0038,0.005
-1.5461e+01,-0.0042,-0.013
-1.5453e+01,-0.0034,0.0066
-1.5445e+01,-0.0034,-0.0154
-1.5438e+01,-0.0038,0.005
-1.5430e+01,-0.0038,-0.0134
-1.5422e+01,-0.0042,0.0062
-1.5415e+01,-0.0034,-0.015
-1.5407e+01,-0.0026,0.0046
-1.5399e+01,-0.003,-0.0114
-1.5392e+01,-0.0034,0.007
-1.5384e+01,-0.0038,-0.0142
-1.5376e+01,-0.0042,0.0082
-1.5369e+01,-0.0046,-0.015
-1.5361e+01,-0.003,0.005
-1.5353e+01,-0.0026,-0.0122
-1.5346e+01,-0.0038,0.0078
-1.5338e+01,-0.0038,-0.0142
-1.5330e+01,-0.0034,0.0082
-1.5323e+01,-0.003,-0.015
-1.5315e+01,-0.003,0.005
-1.5307e+01,-0.003,-0.013
-1.5300e+01,-0.003,0.0074
-1.5292e+01,-0.0046,-0.015
-1.5284e+01,-0.003,0.0066
-1.5276e+01,-0.0042,-0.0134
-1.5269e+01,-0.003,0.0042
-1.5261e+01,-0.0042,-0.011
-1.5253e+01,-0.0034,0.0042
-1.5246e+01,-0.0034,-0.0114
-1.5238e+01,-0.0034,0.0066
-1.5230e+01,-0.0026,-0.013
-1.5223e+01,-0.0026,0.001
-1.5215e+01,-0.0034,-0.0066
-1.5207e+01,-0.0038,0.0042
-1.5200e+01,-0.003,-0.0114
-1.5192e+01,-0.0034,0.0058
-1.5184e+01,-0.003,-0.0118
-1.5177e+01,-0.0038,0.0054
